"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 25 20:51:32 IST 2024","Tue Jun 25 20:51:38 IST 2024","5548","","Test Suite to verify New User is Registered Successfully in Demo Web Shop. ","","Test Suite to verify New User is Registered Successfully in Demo Web Shop. ","Test 1: Field level validations on the Register page.","Test 1: Field level validations on the Register page.",""
"passed","Tue Jun 25 20:50:51 IST 2024","Tue Jun 25 20:50:59 IST 2024","7630","","Test Suite to verify Demo Web Shop Home Page. ","","Test Suite to verify Demo Web Shop Home Page. ","Test 1: Verify Demo Web Shop Header Logo on Home Page.","Test 1: Verify Demo Web Shop Header Logo on Home Page.",""
"passed","Tue Jun 25 20:51:13 IST 2024","Tue Jun 25 20:51:16 IST 2024","2479","","Test Suite to verify Search Functionality in Demo Web Shop Home Page. ","","Test Suite to verify Search Functionality in Demo Web Shop Home Page. ","Test 2: Verify Advanced search Functionality","Test 2: Verify Advanced search Functionality",""
"passed","Tue Jun 25 20:50:59 IST 2024","Tue Jun 25 20:50:59 IST 2024","208","","Test Suite to verify Demo Web Shop Home Page. ","","Test Suite to verify Demo Web Shop Home Page. ","Test 4: Verify Product Categories List on Demo Web Shop Home Page under List Box.","Test 4: Verify Product Categories List on Demo Web Shop Home Page under List Box.",""
"passed","Tue Jun 25 20:51:10 IST 2024","Tue Jun 25 20:51:13 IST 2024","3683","","Test Suite to verify Search Functionality in Demo Web Shop Home Page. ","","Test Suite to verify Search Functionality in Demo Web Shop Home Page. ","Test 1: Verify any user can search product on Demo Web Shop Home Page using Search store.","Test 1: Verify any user can search product on Demo Web Shop Home Page using Search store.",""
"passed","Tue Jun 25 20:50:59 IST 2024","Tue Jun 25 20:50:59 IST 2024","165","","Test Suite to verify Demo Web Shop Home Page. ","","Test Suite to verify Demo Web Shop Home Page. ","Test 2: Verify Links on header section of Demo Web Shop Home Page.","Test 2: Verify Links on header section of Demo Web Shop Home Page.",""
"passed","Tue Jun 25 20:51:38 IST 2024","Tue Jun 25 20:51:40 IST 2024","1816","","Test Suite to verify New User is Registered Successfully in Demo Web Shop. ","","Test Suite to verify New User is Registered Successfully in Demo Web Shop. ","Test 2: Verify existing user should NOT be allowed to Register again.","Test 2: Verify existing user should NOT be allowed to Register again.",""
"passed","Tue Jun 25 20:51:40 IST 2024","Tue Jun 25 20:51:41 IST 2024","1906","","Test Suite to verify New User is Registered Successfully in Demo Web Shop. ","","Test Suite to verify New User is Registered Successfully in Demo Web Shop. ","Test 2: Verify New User with unique email ID should be allowed to Register.","Test 2: Verify New User with unique email ID should be allowed to Register.",""
"passed","Tue Jun 25 20:50:59 IST 2024","Tue Jun 25 20:51:00 IST 2024","251","","Test Suite to verify Demo Web Shop Home Page. ","","Test Suite to verify Demo Web Shop Home Page. ","Test 5: Verify Product Categories on Demo Web Shop Home Page in Header Top Menu.","Test 5: Verify Product Categories on Demo Web Shop Home Page in Header Top Menu.",""
"passed","Tue Jun 25 20:50:59 IST 2024","Tue Jun 25 20:50:59 IST 2024","94","","Test Suite to verify Demo Web Shop Home Page. ","","Test Suite to verify Demo Web Shop Home Page. ","Test 3: Verify Search Box with Search button on header section of Demo Web Shop Home Page.","Test 3: Verify Search Box with Search button on header section of Demo Web Shop Home Page.",""
